	oid	name_org	oc_id	Business	Group	Industry	name_concept	acronym	canon_oid
124	1223	Eli Lilly And Company	-4963	Pharmaceutical manufacturing	Health	Pharmaceuticals & Health Products	Eli Lilly		104395.0
125	1230	Harris Farms, Inc.	-6132	Uncoded	Uncoded	Uncoded	Harris Farms, Inc.		1230.0
126	1239	American Bankers Insurance Company Of Florida	-556	Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance	American Bankers Insurance Company Of Florida		1239.0
127	1244	eBAY, Inc.	-4860	Vendors	Communications & Electronics	Computer Equipment & Services	eBAY, Inc.		1244.0
128	1270	California Credit Union League	-2280	Credit unions	Finance, Insurance & Real Estate	Credit Unions	California Nevada Credit Union Leagues		1270.0
129	1279	Zuffa, LLC	-12946	Professional sports, arenas & related equipment and services	General Business	Recreation & Live Entertainment	Zuffa, LLC		1279.0
130	1284	Walmart Stores Inc.	-12551	Department, variety & convenience stores	General Business	Retail Sales	Walmart		6876.0
131	1289	California Psychological Association	-2772	Psychiatrists & psychologists	Health	Health Professionals	California Psychological Association		1289.0
132	1293	Caribou Industries, Inc.	-3236	Building operators & managers	Finance, Insurance & Real Estate	Real Estate	Caribou Industries, Inc.		1293.0
133	1296	Museum Of Latin American Art	-8171	Museums, art galleries, libraries, etc.	Government Agencies/Education/Other	Nonprofit Institutions	Museum Of Latin American Art		1296.0
134	1315	Shingle Springs Band Of Miwok Indians	-10604	Native American tribes & governing units	Government Agencies/Education/Other	Tribal Governments	Shingle Springs Band Of Miwok Indians		1315.0
135	1317	Capitol Casino	-3192	Casinos, racetracks & gambling	General Business	Gambling & Casinos	Capitol Casino		1317.0
136	1328	Jackson Rancheria Band Of Miwuk Indians	-6748	Native American tribes & governing units	Government Agencies/Education/Other	Tribal Governments	Jackson Rancheria Band Of Miwuk Indians		1328.0
137	1354	Youngs Market Company	-12910	Liquor wholesalers	General Business	Beer, Wine & Liquor	Youngs Market Company		1354.0
138	1361	Keenan & Associates		Property & casualty insurance	Finance, Insurance & Real Estate	Insurance			
139	1368	Amgen	-769	Pharmaceutical manufacturing	Health	Pharmaceuticals & Health Products	Amgen		1368.0
140	1379	Intuit Inc.	-6701	Computer software	Communications & Electronics	Computer Equipment & Services	Intuit Inc.		1379.0
141	1392	Alaska Airlines	-385	Airlines	Transportation	Air Transport	Alaska Airlines And Affiliate Hawaiian Airlines		1392.0
142	1393	Edwards Lifesciences	-4913	Medical supplies manufacturing & sales	Health	Pharmaceuticals & Health Products	Edwards Lifesciences		1393.0
143	1394	Syngenta	-11230	Agricultural chemicals (fertilizers & pesticides)	Agriculture	Agricultural Services & Products	Syngenta		1394.0
144	1422	California Defense Counsel	-2289	Courts & justice system	Government Agencies/Education/Other	Civil Servants/Public Officials	California Defense Counsel		1422.0
145	1427	Association Of California Life & Health Insurance Companies	-1070	Accident & health insurance	Finance, Insurance & Real Estate	Insurance	Association of California Health and Life Insurance Companies		105726.0
146	1437	Google Inc.	-5914	Search Engine/Email Services	Communications & Electronics	Computer Equipment & Services	Google Inc.		1437.0
147	1444	Aflac	-280	Insurance companies, general	Finance, Insurance & Real Estate	Insurance	Aflac		1444.0
148	1446	California Association Of Community Managers	-1897	Civil servant/public employee	Government Agencies/Education/Other	Civil Servants/Public Officials	California Association Of Community Managers		1446.0
149	1485	Pechanga Band Of Luiseno Mission Indians	-9115	Native American tribes & governing units	Government Agencies/Education/Other	Tribal Governments	Pechanga Band of Luiseno Indians		9226.0
150	1487	Amerisourcebergen Corporation	-763	Pharmaceutical wholesale	Health	Pharmaceuticals & Health Products	Amerisource Bergen Services Corporation		33076.0
151	1497	National Association Of Theatre Owners Of California/Nevada	-8271	Movie theaters	Communications & Electronics	Movie Theaters	National Association of Theater Owners of California		103043.0
152	1517	California Professional Association Of Specialty Contractors	-2757	Builders associations	Construction	General Contractors	California Professional Association Of Specialty Contractors		1517.0
153	1526	Sony Pictures Entertainment	-10800	Motion picture production & distribution	Communications & Electronics	TV & Movie Production/Distribution	Sony Pictures Entertainment		1526.0
154	1536	Anheuser-Busch Companies Inc.	-819	Beer	General Business	Beer, Wine & Liquor	Anheuser-Busch Companies Inc.		1536.0
155	1550	Coca-Cola Company	-3939	Beverages (non-alcoholic)	General Business	Food & Beverage	Coca-Cola Company		1550.0
156	1562	California Hotel & Lodging Association	-2463	Hotels & motels	General Business	Lodging & Tourism	California Hotel & Lodging Association		1562.0
157	1589	Monsanto Company	-8062	Agricultural services & related industries	Agriculture	Agricultural Services & Products	Monsanto Company		1589.0
158	1595	Hewlett-Packard Company	-6247	Electronics manufacturing & services	Communications & Electronics	Electronics Manufacturing & Services	Hewlett-Packard Company		1595.0
159	1598	Lance-Kashian & Company		Real estate developers & subdividers	Finance, Insurance & Real Estate	Real Estate			
160	1601	Hawaiian Gardens Casino	-6147	Casinos, racetracks & gambling	General Business	Gambling & Casinos	Hawaiian Gardens Casino		1601.0
161	1619	Bayer Corporation	-1337	Pharmaceutical manufacturing	Health	Pharmaceuticals & Health Products	Bayer Corporation		1619.0
162	1633	Fresenius Medical Care North America	-5645	Health care institutions	Health	Hospitals & Nursing Homes	Fresenius Medical Care		43812.0
163	1646	Family Winemakers Of California	-5250	Wine & distilled spirits manufacturing	General Business	Beer, Wine & Liquor	Family Winemakers Of California		1646.0
164	1647	Lucky Chances Inc.	-7552	Casinos, racetracks & gambling	General Business	Gambling & Casinos	Lucky Chances Inc.		1647.0
165	1649	Capital One Financial Corporation	-3183	Credit agencies & finance companies	Finance, Insurance & Real Estate	Finance & Credit Companies	Capital One Financial Corporation		1649.0
166	1652	Gilead Sciences, Inc.	-5824	Biotech products & research	Health	Pharmaceuticals & Health Products	Gilead Sciences, Inc.		1652.0
167	1659	Caremark Rx, Inc.	-3225	Drug stores	General Business	Retail Sales	Caremark Rx, Inc.		1659.0
168	1662	Cigna Healthcare Of California, Inc.	-3606	Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance	Cigna Healthcare Of California, Inc.		1662.0
169	1673	United Nurses Association Of California/Union Of Health Care Professionals	-12209	Health worker unions	Labor	General Trade Unions	United Nurses Association Of California/Union Of Health Care Professionals		1673.0
170	1677	Agua Caliente Band Of Cahuilla Indians	-312	Native American tribes & governing units	Government Agencies/Education/Other	Tribal Governments	Agua Caliente Band Of Cahuilla Indians		1677.0
171	1687	California Mortgage Bankers Association	-2599	Mortgage bankers & brokers	Finance, Insurance & Real Estate	Real Estate	California Mortgage Bankers Association		1687.0
172	1692	California Independent Petroleum Association (Cipa)	-2479	Petroleum refining & marketing	Energy & Natural Resources	Oil & Gas	California Independent Petroleum Association		29581.0
173	1715	California Chiropractic Association	-2148	Chiropractors	Health	Health Professionals	California Chiropractic Association		1715.0
174	1720	Construction Employers' Association	-4152	Builders associations	Construction	General Contractors	Construction Employers' Association		1720.0
175	1780	Pala Band Of Mission Indians	-8977	Native American tribes & governing units	Government Agencies/Education/Other	Tribal Governments	Pala Band Of Mission Indians		1780.0
176	1813	Fuelcell Energy, Inc.	-5698	Uncoded	Uncoded	Uncoded	Fuelcell Energy, Inc.		1813.0
177	1818	California Bail Agents Association	-2043	Bail Bond Services	Finance, Insurance & Real Estate	Miscellaneous Finance	California Bail Agents Association		1818.0
178	1854	Fox Group	-5614	Broadcasting & motion pictures	Communications & Electronics	TV & Movie Production/Distribution	Fox Group		1854.0
179	1862	The Home Depot	-11701	Hardware & building materials stores	General Business	Retail Sales	The Home Depot		1862.0
180	1863	Tenet Healthcare Corporation	-11350	Hospitals	Health	Hospitals & Nursing Homes	Tenet Healthcare Corporation		1863.0
181	1888	Californians Allied For Patient Protection	-1814	Health & welfare policy	Ideology/Single Issue	Health & Welfare Policy	Californians Allied For Patient Protection PAC		31295.0
182	1907	United Auburn Indian Community	-12174	Native American tribes & governing units	Government Agencies/Education/Other	Tribal Governments	United Auburn Indian Community		1907.0
183	1933	Occupational Therapy Association Of California	-8685	Other non-physician health practitioners	Health	Health Professionals	Occupational Therapy Association Of California		1933.0
184	1935	Pepsico, Inc. And Affiliated Entities	-9146	Beverages (non-alcoholic)	General Business	Food & Beverage	Pepsico		5833.0
185	1936	Advance America; Cash Advance Centers Of California, Inc.		Payday/Title Loans	Finance, Insurance & Real Estate	Payday/Title Loans			
186	1964	Turlock Scavenger Company	-12017	Uncoded	Uncoded	Uncoded	Turlock Scavenger Company		1964.0
187	1983	Los Angeles County Professional Peace Officers Association	-7429	Police unions & associations	Labor	Public Sector Unions	Los Angeles County Professional Peace Officers Association		1983.0
188	2005	Diageo	-4650	Wine & distilled spirits manufacturing	General Business	Beer, Wine & Liquor	Diageo		2005.0
189	2006	National Association Of Chain Drug Stores	-8241	Drug stores	General Business	Retail Sales	National Association Of Chain Drug Stores		2006.0
190	2037	Paramount Farming Company	-9017	Vegetables, fruits & tree nuts	Agriculture	Crop Production & Basic Processing	Paramount Farming Company		2037.0
191	2050	Constellation Brands, Inc.	-4150	Wine & distilled spirits manufacturing	General Business	Beer, Wine & Liquor	Constellation Brands, Inc.		2050.0
192	2105	Charter Communications, Inc.	-3470	Telecommunications	Communications & Electronics	Telecom Services & Equipment	Charter Communications, Inc.		2105.0
193	2159	American Career College	-570	Technical, business & vocational schools and services	Government Agencies/Education/Other	Education	American Career College		2159.0
194	2161	West Coast University	-12655	Schools & colleges	Government Agencies/Education/Other	Education	West Coast University		2161.0
195	2175	Allstate Insurance Company	-468	Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance	Allstate		48978.0
196	2251	Darden Restaurants, Inc.	-4477	Restaurants & drinking establishments	General Business	Food & Beverage	Darden Restaurants, Inc.		2251.0
197	2279	American Bail Coalition	-555	Bail Bond Services	Finance, Insurance & Real Estate	Miscellaneous Finance	American Bail Coalition		2279.0
198	2293	California Association For Medical Laboratory Technology	-1869	Medical laboratories	Health	Health Services	California Association For Medical Laboratory Technology		2293.0
199	2305	Gerawan Farming Inc.	-5807	Uncoded	Uncoded	Uncoded	Gerawan Farming Inc.		2305.0
200	2346	Albert Ramirez Bail Bonds	-390	Bail Bond Services	Finance, Insurance & Real Estate	Miscellaneous Finance	Albert Ramirez Bail Bonds		2346.0
201	2364	Cr&R, Inc.	-4362	Waste management	Energy & Natural Resources	Waste Management	Cr&R, Inc.		2364.0
202	2373	California Cattlemen'S Association	-2103	Livestock	Agriculture	Livestock	California Cattleman's Association		29714.0
203	2400	Amador Water Agency	-511	Water utilities	Energy & Natural Resources	Water Utilities	Amador Water Agency		2400.0
204	2414	California Veterinary Medical Association	-3082	Veterinarians	Agriculture	Agricultural Services & Products	California Veterinary Medical Association		2414.0
205	2419	Inland Group, Inc.	-6567	Real estate developers & subdividers	Finance, Insurance & Real Estate	Real Estate	Inland Group, Inc.		2419.0
206	2441	Southwest Airlines Co.	-10890	Airlines	Transportation	Air Transport	Southwest Airlines Co.		2441.0
207	2473	California Bankers Association	-2046	Commercial banks & bank holding companies	Finance, Insurance & Real Estate	Commercial Banks	California Bankers Association		2473.0
208	2491	Can Manufacturers Institute	-3156	Metal cans & containers	General Business	Miscellaneous Manufacturing & Distributing	Can Manufacturers Institute		2491.0
209	2497	California League Of Conservation Voters	-2534	Environmental policy	Ideology/Single Issue	Pro-Environmental Policy	California League Of Conservation Voters		2497.0
210	2503	California Restaurant Mutual Benefit Corporation	-2829	Uncoded	Uncoded	Uncoded	California Restaurant Mutual Benefit Corporation		2503.0
211	2520	Paskenta Band Of Nomlaki Indians	-9059	Native American tribes & governing units	Government Agencies/Education/Other	Tribal Governments	Paskenta Band Of Nomlaki Indians		2520.0
212	2539	Yum! Brands, Inc.	-15398	Restaurants & drinking establishments	General Business	Food & Beverage	Yum! Brands		
213	2545	Baxter Healthcare Corporation	-1319	Medical supplies manufacturing & sales	Health	Pharmaceuticals & Health Products	Baxter Healthcare Corporation		2545.0
214	2552	Biomarin Pharmaceutical, Inc.	-1483	Pharmaceutical manufacturing	Health	Pharmaceuticals & Health Products	Biomarin Pharmaceutical, Inc.		2552.0
215	2575	Association Of Talent Agents	-1135	Broadcasting & motion pictures	Communications & Electronics	TV & Movie Production/Distribution	Association Of Talent Agents		2575.0
216	2581	California State Pipe Trades Council	-2980	Construction unions	Labor	General Trade Unions	California State Pipe Trades Council		2581.0
